date,station_id,actual_snow_mm,actual_category,forecast_probability,ensemble_score,regional_score,global_score,event_type,lead_time,primary_driver,forecast_hit
2018-12-27,phelps_wi,9.17,trace,70,0.5587376014427411,0.7981965734896302,0.0,ALBERTA CLIPPER,12-48 hours,Regional,True
2008-11-21,eagle_river_wi,6.3,trace,85,0.7,1.0,0.0,LAKE EFFECT,12-48 hours,Regional,True
2022-03-26,eagle_river_wi,6.3,trace,70,0.40599999999999997,0.58,0.0,LAKE EFFECT,12-48 hours,Regional,True
2014-04-29,eagle_river_wi,58.099999999999994,major,85,0.7,1.0,0.0,LAKE EFFECT,12-48 hours,Regional,True
2006-02-01,phelps_wi,5.53,trace,70,0.5599999999999999,0.7999999999999999,0.0,LAKE EFFECT,12-48 hours,Regional,True
2008-11-16,eagle_river_wi,22.400000000000002,significant,70,0.5570833333333333,0.7958333333333333,0.0,ALBERTA CLIPPER,12-48 hours,Regional,True
2023-03-12,phelps_wi,6.37,trace,85,0.7,1.0,0.0,ALBERTA CLIPPER,12-48 hours,Regional,True
2005-11-17,eagle_river_wi,11.899999999999999,trace,70,0.5524256086564472,0.7891794409377818,0.0,ALBERTA CLIPPER,12-48 hours,Regional,True
2007-03-02,phelps_wi,11.62,trace,85,0.6301047037915728,0.8522993688007213,0.11165048543689321,ALBERTA CLIPPER,12-48 hours,Regional,True
2002-04-28,phelps_wi,6.79,trace,85,0.7,1.0,0.0,LAKE EFFECT,12-48 hours,Regional,True
2000-04-15,eagle_river_wi,5.6000000000000005,trace,70,0.523157894736842,0.7473684210526316,0.0,LAKE EFFECT,12-48 hours,Regional,True
2008-12-23,eagle_river_wi,21.0,significant,85,0.7,1.0,0.0,ALBERTA CLIPPER,12-48 hours,Regional,True
2003-02-03,phelps_wi,8.82,trace,70,0.5724466019417476,0.72,0.22815533980582528,LAKE EFFECT,12-48 hours,Regional,True
2016-02-28,eagle_river_wi,14.0,trace,70,0.43127693102331327,0.5682596934174933,0.11165048543689321,ALBERTA CLIPPER,12-48 hours,Regional,True
2025-03-01,eagle_river_wi,12.6,trace,55,0.3705805243445692,0.5294007490636703,0.0,LAKE EFFECT,12-48 hours,Regional,True
2022-12-11,eagle_river_wi,9.8,trace,55,0.38919999999999993,0.5559999999999999,0.0,LAKE EFFECT,12-48 hours,Regional,True
2002-10-21,eagle_river_wi,58.099999999999994,major,70,0.4759999999999999,0.6799999999999999,0.0,LAKE EFFECT,12-48 hours,Regional,True
